# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
1.302500000000000000e+04,4.898900348153479301e-01
1.305000000000000000e+04,4.899751107037976228e-01
1.307500000000000000e+04,4.900592401089163275e-01
1.310000000000000000e+04,4.901424790756168104e-01
1.312500000000000000e+04,4.902248802727764976e-01
1.315000000000000000e+04,4.903064931958965866e-01
1.317500000000000000e+04,4.903873643576745489e-01
1.320000000000000000e+04,4.904675374672072263e-01
1.322500000000000000e+04,4.905470535984893798e-01
1.325000000000000000e+04,4.906259513488410717e-01
1.327500000000000000e+04,4.907042669878604602e-01
1.330000000000000000e+04,4.907820345974625020e-01
1.332500000000000000e+04,4.908592862035288107e-01
1.335000000000000000e+04,4.909360518996720435e-01
1.337500000000000000e+04,4.910123599635781710e-01
1.340000000000000000e+04,4.910882369663718272e-01
1.342500000000000000e+04,4.911637078754169661e-01
1.345000000000000000e+04,4.912387961509472878e-01
1.347500000000000000e+04,4.913135238368911972e-01
1.350000000000000000e+04,4.913879116462401275e-01
1.352500000000000000e+04,4.914619790412861344e-01
1.355000000000000000e+04,4.915357443090335732e-01
1.357500000000000000e+04,4.916092246320749592e-01
1.360000000000000000e+04,4.916824361552051270e-01
1.362500000000000000e+04,4.917553940480206554e-01
1.365000000000000000e+04,4.918281125637568585e-01
1.367500000000000000e+04,4.919006050945789466e-01
1.370000000000000000e+04,4.919728842235407407e-01
1.372500000000000000e+04,4.920449617734186654e-01
1.375000000000000000e+04,4.921168488525985429e-01
1.377500000000000000e+04,4.921885558981985986e-01
1.380000000000000000e+04,4.922600927165932672e-01
1.382500000000000000e+04,4.923314685214938424e-01
1.385000000000000000e+04,4.924026919697312987e-01
1.387500000000000000e+04,4.924737711948835028e-01
1.390000000000000000e+04,4.925447138388732715e-01
1.392500000000000000e+04,4.926155270816584553e-01
1.395000000000000000e+04,4.926862176691334527e-01
1.397500000000000000e+04,4.927567919393457396e-01
1.400000000000000000e+04,4.928272558471301634e-01
1.402500000000000000e+04,4.928976149872567047e-01
1.405000000000000000e+04,4.929678746161818004e-01
1.407500000000000000e+04,4.930380396724854952e-01
1.410000000000000000e+04,4.931081147960745814e-01
1.412500000000000000e+04,4.931781043462291625e-01
1.415000000000000000e+04,4.932480124185548154e-01
1.417500000000000000e+04,4.933178428609155675e-01
1.420000000000000000e+04,4.933875992884027561e-01
1.422500000000000000e+04,4.934572850973988345e-01
1.425000000000000000e+04,4.935269034787936882e-01
1.427500000000000000e+04,4.935964574304028685e-01
1.430000000000000000e+04,4.936659497686332609e-01
1.432500000000000000e+04,4.937353831394463710e-01
1.435000000000000000e+04,4.938047600286586403e-01
1.437500000000000000e+04,4.938740827716193715e-01
1.440000000000000000e+04,4.939433535623041216e-01
1.442500000000000000e+04,4.940125744618587000e-01
1.445000000000000000e+04,4.940817474066268589e-01
1.447500000000000000e+04,4.941508742156929257e-01
1.450000000000000000e+04,4.942199565979689679e-01
1.452500000000000000e+04,4.942889961588532999e-01
1.455000000000000000e+04,4.943579944064874221e-01
1.457500000000000000e+04,4.944269527576334866e-01
1.460000000000000000e+04,4.944958725431976010e-01
1.462500000000000000e+04,4.945647550134204540e-01
1.465000000000000000e+04,4.946336013427511391e-01
1.467500000000000000e+04,4.947024126344288786e-01
1.470000000000000000e+04,4.947711899247881906e-01
1.472500000000000000e+04,4.948399341873020996e-01
1.475000000000000000e+04,4.949086463363815969e-01
1.477500000000000000e+04,4.949773272309465066e-01
1.480000000000000000e+04,4.950459776777790255e-01
1.482500000000000000e+04,4.951145984346752571e-01
1.485000000000000000e+04,4.951831902134076757e-01
1.487500000000000000e+04,4.952517536825050692e-01
