# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
9.925000000000000000e+03,3.644865095700183244e-01
9.950000000000000000e+03,3.654546720384869718e-01
9.975000000000000000e+03,3.665973056632046423e-01
1.000000000000000000e+04,3.679111682600115785e-01
1.002500000000000000e+04,3.664421706511873933e-01
1.005000000000000000e+04,3.652436215864918179e-01
1.007500000000000000e+04,3.643097464688274112e-01
1.010000000000000000e+04,3.636337825504458721e-01
1.012500000000000000e+04,3.632080409628872242e-01
1.015000000000000000e+04,3.630239785557569099e-01
1.017500000000000000e+04,3.630722781880104111e-01
1.020000000000000000e+04,3.633429359665520941e-01
1.022500000000000000e+04,3.638253538242551266e-01
1.025000000000000000e+04,3.645084357747552239e-01
1.027500000000000000e+04,3.653806861742447398e-01
1.030000000000000000e+04,3.664303083587188703e-01
1.032500000000000000e+04,3.676453021047704772e-01
1.035000000000000000e+04,3.690135584776805810e-01
1.037500000000000000e+04,3.705229507758373009e-01
1.040000000000000000e+04,3.721614204483835175e-01
1.042500000000000000e+04,3.739170570461495258e-01
1.045000000000000000e+04,3.757781714571921672e-01
1.047500000000000000e+04,3.777333618709027285e-01
1.050000000000000000e+04,3.797715721025757274e-01
1.052500000000000000e+04,3.825767706364168741e-01
1.055000000000000000e+04,3.853771497926639644e-01
1.057500000000000000e+04,3.881666150937711501e-01
1.060000000000000000e+04,3.909395497957670607e-01
1.062500000000000000e+04,3.936908145779304258e-01
1.065000000000000000e+04,3.964157427569788839e-01
1.067500000000000000e+04,3.991101315429336216e-01
1.070000000000000000e+04,4.017702298607892519e-01
1.072500000000000000e+04,4.043927232569577979e-01
1.075000000000000000e+04,4.069747163940686252e-01
1.077500000000000000e+04,4.095137136140323819e-01
1.080000000000000000e+04,4.120075980191482135e-01
1.082500000000000000e+04,4.144546094862282537e-01
1.085000000000000000e+04,4.168533219908025500e-01
1.087500000000000000e+04,4.192026205788599302e-01
1.090000000000000000e+04,4.215016782834885012e-01
1.092500000000000000e+04,4.237499332442089539e-01
1.095000000000000000e+04,4.259470662485472237e-01
1.097500000000000000e+04,4.280929788791093538e-01
