# lambda_A, QE  (e2v CCD + Teledyne H2RG blended by a 1.0um dichroic)
4.675000000000000000e+03,7.752487179771484493e-01
4.700000000000000000e+03,7.809986251719502892e-01
4.725000000000000000e+03,7.867485257285419253e-01
4.750000000000000000e+03,7.924984191766957231e-01
4.775000000000000000e+03,7.982483050131423674e-01
4.800000000000000000e+03,8.039981826992644853e-01
4.825000000000000000e+03,8.097480516586303967e-01
4.850000000000000000e+03,8.154979112743571124e-01
4.875000000000000000e+03,8.212477608862902567e-01
4.900000000000000000e+03,8.269975997879882579e-01
4.925000000000000000e+03,8.327474272234983710e-01
4.950000000000000000e+03,8.384972423839085476e-01
4.975000000000000000e+03,8.442470444036606070e-01
5.000000000000000000e+03,8.499968323566083894e-01
5.025000000000000000e+03,8.512466231032399522e-01
5.050000000000000000e+03,8.524964000344884552e-01
5.075000000000000000e+03,8.537461622387273463e-01
5.100000000000000000e+03,8.549959087442068340e-01
5.125000000000000000e+03,8.562456385150909455e-01
5.150000000000000000e+03,8.574953504472331289e-01
5.175000000000000000e+03,8.587450433636740765e-01
5.200000000000000000e+03,8.599947160098421195e-01
5.225000000000000000e+03,8.612443670484383196e-01
5.250000000000000000e+03,8.624939950539842748e-01
5.275000000000000000e+03,8.637435985070105460e-01
5.300000000000000000e+03,8.649931757878628336e-01
5.325000000000000000e+03,8.662427251700997033e-01
5.350000000000000000e+03,8.674922448134555486e-01
5.375000000000000000e+03,8.687417327563407010e-01
5.400000000000000000e+03,8.699911869078466031e-01
5.425000000000000000e+03,8.712406050392257351e-01
5.450000000000000000e+03,8.724899847748091020e-01
5.475000000000000000e+03,8.737393235823270876e-01
5.500000000000000000e+03,8.749886187625918188e-01
5.525000000000000000e+03,8.762378674385009614e-01
5.550000000000000000e+03,8.774870665433173178e-01
5.575000000000000000e+03,8.787362128081768198e-01
5.600000000000000000e+03,8.799853027487736234e-01
5.625000000000000000e+03,8.812343326511705710e-01
5.650000000000000000e+03,8.824832985566728460e-01
5.675000000000000000e+03,8.837321962457087565e-01
5.700000000000000000e+03,8.849810212206474791e-01
5.725000000000000000e+03,8.862297686874878178e-01
5.750000000000000000e+03,8.874784335363402610e-01
5.775000000000000000e+03,8.887270103206265093e-01
5.800000000000000000e+03,8.899754932349079883e-01
5.825000000000000000e+03,8.912238760912586377e-01
5.850000000000000000e+03,8.924721522940809448e-01
5.875000000000000000e+03,8.937203148132653041e-01
5.900000000000000000e+03,8.949683561555861200e-01
5.925000000000000000e+03,8.962162683342139724e-01
5.950000000000000000e+03,8.974640428362242739e-01
5.975000000000000000e+03,8.987116705879681922e-01
6.000000000000000000e+03,8.999591419181677265e-01
6.025000000000000000e+03,8.999565069256314498e-01
6.050000000000000000e+03,8.999537020076320282e-01
6.075000000000000000e+03,8.999507162071759270e-01
6.100000000000000000e+03,8.999475378609049780e-01
6.125000000000000000e+03,8.999441545535792342e-01
6.150000000000000000e+03,8.999405530696308331e-01
6.175000000000000000e+03,8.999367193415978017e-01
6.200000000000000000e+03,8.999326383952404029e-01
6.225000000000000000e+03,8.999282942911249750e-01
6.250000000000000000e+03,8.999236700624488883e-01
6.275000000000000000e+03,8.999187476488647031e-01
6.300000000000000000e+03,8.999135078260505072e-01
6.325000000000000000e+03,8.999079301307468803e-01
6.350000000000000000e+03,8.999019927809760455e-01
6.375000000000000000e+03,8.998956725911323451e-01
6.400000000000000000e+03,8.998889448816124181e-01
6.425000000000000000e+03,8.998817833826412427e-01
6.450000000000000000e+03,8.998741601319174555e-01
6.475000000000000000e+03,8.998660453656843750e-01
6.500000000000000000e+03,8.998574074028077296e-01
6.525000000000000000e+03,8.998482125214097849e-01
6.550000000000000000e+03,8.998384248275879127e-01
6.575000000000000000e+03,8.998280061157100107e-01
6.600000000000000000e+03,8.998169157197503099e-01
6.625000000000000000e+03,8.998051103550943619e-01
6.650000000000000000e+03,8.997925439502061362e-01
6.675000000000000000e+03,8.997791674675116314e-01
6.700000000000000000e+03,8.997649287128138829e-01
6.725000000000000000e+03,8.997497721325102837e-01
6.750000000000000000e+03,8.997336385978382811e-01
6.775000000000000000e+03,8.997164651753267739e-01
6.800000000000000000e+03,8.996981848825801320e-01
6.825000000000000000e+03,8.996787264284661356e-01
6.850000000000000000e+03,8.996580139367233997e-01
6.875000000000000000e+03,8.996359666519421205e-01
6.900000000000000000e+03,8.996124986268079216e-01
6.925000000000000000e+03,8.995875183894285199e-01
6.950000000000000000e+03,8.995609285894959894e-01
6.975000000000000000e+03,8.995326256219545735e-01
7.000000000000000000e+03,8.995024992267687258e-01
7.025000000000000000e+03,8.984710204721173543e-01
7.050000000000000000e+03,8.974375519260177070e-01
7.075000000000000000e+03,8.964019680286084979e-01
7.100000000000000000e+03,8.953641353224059962e-01
7.125000000000000000e+03,8.943239119587071961e-01
7.150000000000000000e+03,8.932811471735474518e-01
7.175000000000000000e+03,8.922356807313864824e-01
7.200000000000000000e+03,8.911873423345946232e-01
7.225000000000000000e+03,8.901359509967057271e-01
7.250000000000000000e+03,8.890813143772883231e-01
7.275000000000000000e+03,8.880232280761699570e-01
7.300000000000000000e+03,8.869614748846307295e-01
7.325000000000000000e+03,8.858958239910476040e-01
7.350000000000000000e+03,8.848260301383491511e-01
7.375000000000000000e+03,8.837518327304929588e-01
7.400000000000000000e+03,8.826729548850444917e-01
7.425000000000000000e+03,8.815891024287827449e-01
7.450000000000000000e+03,8.804999628331140471e-01
7.475000000000000000e+03,8.794052040859154928e-01
7.500000000000000000e+03,8.783044734962718314e-01
7.525000000000000000e+03,8.771973964284125458e-01
7.550000000000000000e+03,8.760835749609869882e-01
7.575000000000000000e+03,8.749625864676523479e-01
7.600000000000000000e+03,8.738339821147879105e-01
7.625000000000000000e+03,8.726972852719759866e-01
7.650000000000000000e+03,8.715519898307362290e-01
7.675000000000000000e+03,8.703975584268366372e-01
7.700000000000000000e+03,8.692334205613528875e-01
7.725000000000000000e+03,8.680589706155049656e-01
7.750000000000000000e+03,8.668735657541645212e-01
7.775000000000000000e+03,8.656765237128102308e-01
7.800000000000000000e+03,8.644671204626022121e-01
7.825000000000000000e+03,8.632987315234280645e-01
7.850000000000000000e+03,8.621233497971462212e-01
7.875000000000000000e+03,8.609407767785149934e-01
7.900000000000000000e+03,8.597508176854434803e-01
7.925000000000000000e+03,8.585532827746953366e-01
7.950000000000000000e+03,8.573479888101360746e-01
7.975000000000000000e+03,8.561347606971136948e-01
8.000000000000000000e+03,8.549134332975435457e-01
8.025000000000000000e+03,8.516980962988002224e-01
8.050000000000000000e+03,8.484761911157294723e-01
8.075000000000000000e+03,8.452477690445782121e-01
8.100000000000000000e+03,8.420129151812291157e-01
8.125000000000000000e+03,8.387717524818842918e-01
8.150000000000000000e+03,8.355244461868567285e-01
8.175000000000000000e+03,8.322712086336726545e-01
8.200000000000000000e+03,8.290123044869426305e-01
8.225000000000000000e+03,8.257626654861662807e-01
8.250000000000000000e+03,8.225099303609555434e-01
8.275000000000000000e+03,8.192547321585872400e-01
8.300000000000000000e+03,8.159977962123932116e-01
8.325000000000000000e+03,8.127399489289328649e-01
8.350000000000000000e+03,8.094821272383231348e-01
8.375000000000000000e+03,8.062253887428856292e-01
8.400000000000000000e+03,8.029709225990299126e-01
