# lambda_A, I_lambda[erg/s/cm2/A/arcsec2]  (CALSPEC solar x Leinert-1998 norm + IPD thermal)
9.975000000000000000e+03,2.583009651979499180e-18
1.000000000000000000e+04,2.570984773475520014e-18
1.002500000000000000e+04,2.555967647121253614e-18
1.005000000000000000e+04,2.476126380950092665e-18
1.007500000000000000e+04,2.485515010418648891e-18
1.010000000000000000e+04,2.522492869060477574e-18
1.012500000000000000e+04,2.506599655321369002e-18
1.015000000000000000e+04,2.479433840223402011e-18
1.017500000000000000e+04,2.462061476479140380e-18
1.020000000000000000e+04,2.448583337907460602e-18
1.022500000000000000e+04,2.438118950123262121e-18
1.025000000000000000e+04,2.456238839433486337e-18
1.027500000000000000e+04,2.449319524224097483e-18
1.030000000000000000e+04,2.417740253758338120e-18
1.032500000000000000e+04,2.414273489470145745e-18
1.035000000000000000e+04,2.372523629547589479e-18
1.037500000000000000e+04,2.377271930395236522e-18
1.040000000000000000e+04,2.361182245079833319e-18
1.042500000000000000e+04,2.362038463095225549e-18
1.045000000000000000e+04,2.349787789165770492e-18
1.047500000000000000e+04,2.325160819191292424e-18
1.050000000000000000e+04,2.335611720026350297e-18
1.052500000000000000e+04,2.323880763376009262e-18
1.055000000000000000e+04,2.309174483433492794e-18
1.057500000000000000e+04,2.280227250336277569e-18
1.060000000000000000e+04,2.262077621790065299e-18
1.062500000000000000e+04,2.282522262327542373e-18
1.065000000000000000e+04,2.253028884844042926e-18
1.067500000000000000e+04,2.226040116449330379e-18
1.070000000000000000e+04,2.188083186334537319e-18
1.072500000000000000e+04,2.213030723529580216e-18
1.075000000000000000e+04,2.183863360777779616e-18
1.077500000000000000e+04,2.174412634853960819e-18
1.080000000000000000e+04,2.200907964273716727e-18
1.082500000000000000e+04,2.108189326900787941e-18
1.085000000000000000e+04,2.148648422767397838e-18
1.087500000000000000e+04,2.111270896357499826e-18
1.090000000000000000e+04,2.135635042706885881e-18
1.092500000000000000e+04,2.111400900550801378e-18
1.095000000000000000e+04,2.011786356196981346e-18
1.097500000000000000e+04,2.044565132500525470e-18
1.100000000000000000e+04,2.085453794664644672e-18
1.102500000000000000e+04,2.050160145601973536e-18
1.105000000000000000e+04,2.070979648972984215e-18
1.107500000000000000e+04,2.063591990118695172e-18
1.110000000000000000e+04,2.059870456775989361e-18
1.112500000000000000e+04,2.030823550800046236e-18
1.115000000000000000e+04,2.034525524584788203e-18
1.117500000000000000e+04,2.032005827044243537e-18
1.120000000000000000e+04,1.993947341927714540e-18
1.122500000000000000e+04,2.019741258477435185e-18
1.125000000000000000e+04,1.991807526794386590e-18
1.127500000000000000e+04,1.975013256926164437e-18
1.130000000000000000e+04,1.961515486718602660e-18
1.132500000000000000e+04,1.968481095693937291e-18
1.135000000000000000e+04,1.961814364482063956e-18
1.137500000000000000e+04,1.946309006455837385e-18
1.140000000000000000e+04,1.915408877048686343e-18
1.142500000000000000e+04,1.921860433974493671e-18
1.145000000000000000e+04,1.929279164672757275e-18
1.147500000000000000e+04,1.937710698123306875e-18
1.150000000000000000e+04,1.927116393486420516e-18
1.152500000000000000e+04,1.916732260936506075e-18
1.155000000000000000e+04,1.918312809046573837e-18
1.157500000000000000e+04,1.905356868637128780e-18
1.160000000000000000e+04,1.868497199831596777e-18
1.162500000000000000e+04,1.839763337473995355e-18
1.165000000000000000e+04,1.857550838802970939e-18
1.167500000000000000e+04,1.862306442496921477e-18
1.170000000000000000e+04,1.840111751845770409e-18
1.172500000000000000e+04,1.861506547716984341e-18
1.175000000000000000e+04,1.842339751329257646e-18
1.177500000000000000e+04,1.802697517749841175e-18
1.180000000000000000e+04,1.835842902531263650e-18
1.182500000000000000e+04,1.812064388923585289e-18
1.185000000000000000e+04,1.775675530018264928e-18
1.187500000000000000e+04,1.776797170591213100e-18
1.190000000000000000e+04,1.780827169265638785e-18
1.192500000000000000e+04,1.802148979905674903e-18
1.195000000000000000e+04,1.790897071253539404e-18
1.197500000000000000e+04,1.726199695029757043e-18
1.200000000000000000e+04,1.732599231943729143e-18
1.202500000000000000e+04,1.768911021961137938e-18
1.205000000000000000e+04,1.721529542643107182e-18
1.207500000000000000e+04,1.709451071775864811e-18
1.210000000000000000e+04,1.707782883646650992e-18
1.212500000000000000e+04,1.733778588651829411e-18
1.215000000000000000e+04,1.736884547239722586e-18
1.217500000000000000e+04,1.731149101546071431e-18
1.220000000000000000e+04,1.720179314615794754e-18
1.222500000000000000e+04,1.713738976750638638e-18
1.225000000000000000e+04,1.705292680871526425e-18
1.227500000000000000e+04,1.688196643004123050e-18
1.230000000000000000e+04,1.690034927386053286e-18
1.232500000000000000e+04,1.679784285306208306e-18
1.235000000000000000e+04,1.677204467838625592e-18
1.237500000000000000e+04,1.676261873066097300e-18
1.240000000000000000e+04,1.656318313115001062e-18
1.242500000000000000e+04,1.647681422884126332e-18
1.245000000000000000e+04,1.642778428157736645e-18
1.247500000000000000e+04,1.644227215317740767e-18
1.250000000000000000e+04,1.643111169907694394e-18
1.252500000000000000e+04,1.618856491274307803e-18
1.255000000000000000e+04,1.621806655555568389e-18
1.257500000000000000e+04,1.611849093415322705e-18
1.260000000000000000e+04,1.610416431560662089e-18
1.262500000000000000e+04,1.598673643715680473e-18
1.265000000000000000e+04,1.592800977194862850e-18
1.267500000000000000e+04,1.575347609717376366e-18
1.270000000000000000e+04,1.585101999128165344e-18
1.272500000000000000e+04,1.582248083353844521e-18
1.275000000000000000e+04,1.570524327028906212e-18
1.277500000000000000e+04,1.569770987955927096e-18
1.280000000000000000e+04,1.545587064855615645e-18
1.282500000000000000e+04,1.390756574807210100e-18
1.285000000000000000e+04,1.517853702144462963e-18
1.287500000000000000e+04,1.531176658124688336e-18
1.290000000000000000e+04,1.519903754457516319e-18
1.292500000000000000e+04,1.527284701628359775e-18
1.295000000000000000e+04,1.520130988885238146e-18
1.297500000000000000e+04,1.515760976255845299e-18
1.300000000000000000e+04,1.514173601420498582e-18
1.302500000000000000e+04,1.496184221453197070e-18
1.305000000000000000e+04,1.490661249111485447e-18
1.307500000000000000e+04,1.495086047626891612e-18
1.310000000000000000e+04,1.487671974867027128e-18
1.312500000000000000e+04,1.452639859771868820e-18
1.315000000000000000e+04,1.463223011655599547e-18
1.317500000000000000e+04,1.450042738578349805e-18
1.320000000000000000e+04,1.467192274899304888e-18
1.322500000000000000e+04,1.457409541027449496e-18
1.325000000000000000e+04,1.455110428554019848e-18
