mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
1,1,1,2030-01-01,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
1,1,1,2030-01-01,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
1,1,1,2030-01-01,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
1,1,1,2030-01-01,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
2,1,2,2030-01-08,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
2,1,2,2030-01-08,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
2,1,2,2030-01-08,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
2,1,2,2030-01-08,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
3,1,3,2030-01-15,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
3,1,3,2030-01-15,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
3,1,3,2030-01-15,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
3,1,3,2030-01-15,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
3,1,3,2030-01-15,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
4,1,4,2030-01-22,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
4,1,4,2030-01-22,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
4,1,4,2030-01-22,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
4,1,4,2030-01-22,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
5,1,5,2030-01-29,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
5,1,5,2030-01-29,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
5,1,5,2030-01-29,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
5,1,5,2030-01-29,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
6,1,6,2030-02-05,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
6,1,6,2030-02-05,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
6,1,6,2030-02-05,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
6,1,6,2030-02-05,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
6,1,6,2030-02-05,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
6,1,6,2030-02-05,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
7,1,7,2030-02-12,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
7,1,7,2030-02-12,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
7,1,7,2030-02-12,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
7,1,7,2030-02-12,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
8,1,8,2030-02-19,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
8,1,8,2030-02-19,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
8,1,8,2030-02-19,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
8,1,8,2030-02-19,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
9,1,9,2030-02-26,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
9,1,9,2030-02-26,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
9,1,9,2030-02-26,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
9,1,9,2030-02-26,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
9,1,9,2030-02-26,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
10,1,10,2030-03-05,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
10,1,10,2030-03-05,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
10,1,10,2030-03-05,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
10,1,10,2030-03-05,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
11,1,11,2030-03-12,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
11,1,11,2030-03-12,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
11,1,11,2030-03-12,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
11,1,11,2030-03-12,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
12,1,12,2030-03-19,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
12,1,12,2030-03-19,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
12,1,12,2030-03-19,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
12,1,12,2030-03-19,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
12,1,12,2030-03-19,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
12,1,12,2030-03-19,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
13,1,13,2030-03-26,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
13,1,13,2030-03-26,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
13,1,13,2030-03-26,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
13,1,13,2030-03-26,OPS,Quarterly calibration block,Observatory maintenance / overhead,Instruments and reference fields,24.0,0.14285714285714285,maintenance,1.0
13,1,13,2030-03-26,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
14,1,14,2030-04-02,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,SU UMa,0.375,0.002232142857142857,target-visit MILP,1.0
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,SU UMa,0.375,0.002232142857142857,target-visit MILP,1.0
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,U Gem,0.375,0.002232142857142857,target-visit MILP,1.0
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,U Gem,0.375,0.002232142857142857,target-visit MILP,1.0
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,Z Cam,0.375,0.002232142857142857,target-visit MILP,0.7142857142857143
14,1,14,2030-04-02,X,Dwarf-nova intensive,Compact monitoring / ToO,Z Cam,0.375,0.002232142857142857,target-visit MILP,0.7142857142857143
14,1,14,2030-04-02,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,36 UMa,18.28124011602197,0.10881690545251173,target-visit MILP,1.0
14,1,14,2030-04-02,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,GJ 411,10.0,0.05952380952380952,target-visit MILP,1.0
14,1,14,2030-04-02,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
14,1,14,2030-04-02,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
14,1,14,2030-04-02,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
14,1,14,2030-04-02,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
15,1,15,2030-04-09,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
15,1,15,2030-04-09,X,Dwarf-nova population,Compact monitoring / ToO,YZ Cnc,0.75,0.004464285714285714,target-visit MILP,1.0
15,1,15,2030-04-09,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,HD 102365,15.779932744531134,0.09392817109839961,target-visit MILP,1.0
15,1,15,2030-04-09,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,lam Ser,19.96967241010322,0.11886709767918584,target-visit MILP,1.0
15,1,15,2030-04-09,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
15,1,15,2030-04-09,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
15,1,15,2030-04-09,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
15,1,15,2030-04-09,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
15,1,15,2030-04-09,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
16,1,16,2030-04-16,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
16,1,16,2030-04-16,X,Dwarf-nova population,Compact monitoring / ToO,ER UMa,0.75,0.004464285714285714,target-visit MILP,1.0
16,1,16,2030-04-16,X,Dwarf-nova population,Compact monitoring / ToO,ER UMa,0.75,0.004464285714285714,target-visit MILP,1.0
16,1,16,2030-04-16,X,Dwarf-nova population,Compact monitoring / ToO,YZ Cnc,0.75,0.004464285714285714,target-visit MILP,0.5714285714285714
16,1,16,2030-04-16,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,36 UMa,18.28124011602197,0.10881690545251173,target-visit MILP,1.0
16,1,16,2030-04-16,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,lam Ser,19.96967241010322,0.11886709767918584,target-visit MILP,1.0
16,1,16,2030-04-16,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,Barnard star,10.0,0.05952380952380952,target-visit MILP,1.0
16,1,16,2030-04-16,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
16,1,16,2030-04-16,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
16,1,16,2030-04-16,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
16,1,16,2030-04-16,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
17,1,17,2030-04-23,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
17,1,17,2030-04-23,X,Dwarf-nova population,Compact monitoring / ToO,OY Car,0.75,0.004464285714285714,target-visit MILP,1.0
17,1,17,2030-04-23,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,Wolf 359,10.0,0.05952380952380952,target-visit MILP,1.0
17,1,17,2030-04-23,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,alpha Cen A,10.0,0.05952380952380952,target-visit MILP,1.0
17,1,17,2030-04-23,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
17,1,17,2030-04-23,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
17,1,17,2030-04-23,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
17,1,17,2030-04-23,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
18,1,18,2030-04-30,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
18,1,18,2030-04-30,X,Dwarf-nova intensive,Compact monitoring / ToO,WZ Sge,0.375,0.002232142857142857,target-visit MILP,1.0
18,1,18,2030-04-30,X,Dwarf-nova intensive,Compact monitoring / ToO,WZ Sge,0.375,0.002232142857142857,target-visit MILP,1.0
18,1,18,2030-04-30,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,HD 102365,15.779932744531134,0.09392817109839961,target-visit MILP,1.0
18,1,18,2030-04-30,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
18,1,18,2030-04-30,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
18,1,18,2030-04-30,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
18,1,18,2030-04-30,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
18,1,18,2030-04-30,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
18,1,18,2030-04-30,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
19,1,19,2030-05-07,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
19,1,19,2030-05-07,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,eps Ind,5.704502578699747,0.033955372492260404,target-visit MILP,1.0
19,1,19,2030-05-07,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,alpha Cen B,10.0,0.05952380952380952,target-visit MILP,1.0
19,1,19,2030-05-07,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
19,1,19,2030-05-07,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
19,1,19,2030-05-07,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
19,1,19,2030-05-07,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
20,1,20,2030-05-14,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
20,1,20,2030-05-14,X,Dwarf-nova intensive,Compact monitoring / ToO,VW Hyi,0.375,0.002232142857142857,target-visit MILP,1.0
20,1,20,2030-05-14,X,Dwarf-nova population,Compact monitoring / ToO,VW Vul,0.75,0.004464285714285714,target-visit MILP,0.42857142857142855
20,1,20,2030-05-14,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,HD 102365,15.779932744531134,0.09392817109839961,target-visit MILP,1.0
20,1,20,2030-05-14,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,lam Ser,19.96967241010322,0.11886709767918584,target-visit MILP,1.0
20,1,20,2030-05-14,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
20,1,20,2030-05-14,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
20,1,20,2030-05-14,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
20,1,20,2030-05-14,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
21,1,21,2030-05-21,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
21,1,21,2030-05-21,X,Dwarf-nova population,Compact monitoring / ToO,OY Car,0.75,0.004464285714285714,target-visit MILP,1.0
21,1,21,2030-05-21,X,Dwarf-nova population,Compact monitoring / ToO,VW Vul,0.75,0.004464285714285714,target-visit MILP,1.0
21,1,21,2030-05-21,X,Dwarf-nova population,Compact monitoring / ToO,VY Aqr,0.75,0.004464285714285714,target-visit MILP,1.0
21,1,21,2030-05-21,X,Dwarf-nova population,Compact monitoring / ToO,VY Aqr,0.75,0.004464285714285714,target-visit MILP,1.0
21,1,21,2030-05-21,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,15.25,0.09077380952380952,continuous LP,1.0
21,1,21,2030-05-21,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
21,1,21,2030-05-21,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
21,1,21,2030-05-21,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
21,1,21,2030-05-21,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
21,1,21,2030-05-21,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
22,1,22,2030-05-28,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
22,1,22,2030-05-28,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,36.0,0.21428571428571427,continuous LP,1.0
22,1,22,2030-05-28,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,61 Vir,17.86117427425261,0.10631651353721791,target-visit MILP,1.0
22,1,22,2030-05-28,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,EZ Aqr Aa,10.0,0.05952380952380952,target-visit MILP,1.0
22,1,22,2030-05-28,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,EZ Aqr Ab,10.0,0.05952380952380952,target-visit MILP,1.0
22,1,22,2030-05-28,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,Ross 128,10.0,0.05952380952380952,target-visit MILP,1.0
22,1,22,2030-05-28,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
22,1,22,2030-05-28,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
22,1,22,2030-05-28,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
22,1,22,2030-05-28,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
23,1,23,2030-06-04,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
23,1,23,2030-06-04,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,36.0,0.21428571428571427,continuous LP,1.0
23,1,23,2030-06-04,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,61 Vir,17.86117427425261,0.10631651353721791,target-visit MILP,1.0
23,1,23,2030-06-04,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,61 Vir,17.86117427425261,0.10631651353721791,target-visit MILP,1.0
23,1,23,2030-06-04,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,lam Ser,19.96967241010322,0.11886709767918584,target-visit MILP,1.0
23,1,23,2030-06-04,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
23,1,23,2030-06-04,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
23,1,23,2030-06-04,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
23,1,23,2030-06-04,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
24,1,24,2030-06-11,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
24,1,24,2030-06-11,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,36.0,0.21428571428571427,continuous LP,1.0
24,1,24,2030-06-11,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,HD 102365,15.779932744531134,0.09392817109839961,target-visit MILP,1.0
24,1,24,2030-06-11,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,61 Cyg A,10.0,0.05952380952380952,target-visit MILP,1.0
24,1,24,2030-06-11,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
24,1,24,2030-06-11,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
24,1,24,2030-06-11,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
24,1,24,2030-06-11,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
24,1,24,2030-06-11,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
24,1,24,2030-06-11,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
25,1,25,2030-06-18,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
25,1,25,2030-06-18,X,Dwarf-nova intensive,Compact monitoring / ToO,SS Cyg,0.375,0.002232142857142857,target-visit MILP,1.0
25,1,25,2030-06-18,X,Dwarf-nova population,Compact monitoring / ToO,OY Car,0.75,0.004464285714285714,target-visit MILP,1.0
25,1,25,2030-06-18,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,36.0,0.21428571428571427,continuous LP,1.0
25,1,25,2030-06-18,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,36 Oph B,15.077588763946688,0.08974755216634933,target-visit MILP,1.0
25,1,25,2030-06-18,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,61 Cyg B,10.0,0.05952380952380952,target-visit MILP,1.0
25,1,25,2030-06-18,B,Nearest Stellar Systems Survey,Exoplanet nearest / HZ,GJ 887,10.0,0.05952380952380952,target-visit MILP,1.0
25,1,25,2030-06-18,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
25,1,25,2030-06-18,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
25,1,25,2030-06-18,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
25,1,25,2030-06-18,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
26,1,26,2030-06-25,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
26,1,26,2030-06-25,X,Dwarf-nova population,Compact monitoring / ToO,VY Aqr,0.75,0.004464285714285714,target-visit MILP,1.0
26,1,26,2030-06-25,A,Wide ELG BAO/RSD,ELG wide North,Boötes north,36.0,0.21428571428571427,continuous LP,1.0
26,1,26,2030-06-25,B,Nearest FGK HZ Systems Survey,Exoplanet nearest / HZ,lam Ser,19.96967241010322,0.11886709767918584,target-visit MILP,1.0
26,1,26,2030-06-25,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
26,1,26,2030-06-25,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
26,1,26,2030-06-25,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
26,1,26,2030-06-25,OPS,Quarterly calibration block,Observatory maintenance / overhead,Instruments and reference fields,24.0,0.14285714285714285,maintenance,1.0
26,1,26,2030-06-25,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
27,1,27,2030-07-02,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
27,1,27,2030-07-02,X,Dwarf-nova intensive,Compact monitoring / ToO,WZ Sge,0.375,0.002232142857142857,target-visit MILP,1.0
27,1,27,2030-07-02,X,Dwarf-nova intensive,Compact monitoring / ToO,WZ Sge,0.375,0.002232142857142857,target-visit MILP,1.0
