mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
225,5,17,2034-04-23,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
226,5,18,2034-04-30,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
226,5,18,2034-04-30,A,Imaging-only wide extension,Deep / imaging calibration,Lockman north,24.0,0.14285714285714285,continuous LP,1.0
226,5,18,2034-04-30,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep north,20.0,0.11904761904761904,continuous LP,1.0
226,5,18,2034-04-30,B,Giant orbit determination,Exoplanet giants / disks,47 UMa c,14.814814814814815,0.08818342151675485,target-visit MILP,1.0
226,5,18,2034-04-30,B,Mature-giant search program,Exoplanet giants / disks,HD 151288,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
226,5,18,2034-04-30,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
226,5,18,2034-04-30,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
226,5,18,2034-04-30,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
226,5,18,2034-04-30,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
226,5,18,2034-04-30,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
226,5,18,2034-04-30,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
226,5,18,2034-04-30,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
227,5,19,2034-05-07,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
227,5,19,2034-05-07,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep north,20.0,0.11904761904761904,continuous LP,1.0
