lam_A,r_arcsec,ee
1.600000000000000000e+04,4.800000000000000377e-01,8.969932107782242481e-01
1.600000000000000000e+04,5.000000000000000000e-01,9.000869039856636000e-01
1.600000000000000000e+04,5.500000000000000444e-01,9.028509499768203606e-01
1.600000000000000000e+04,6.555555555555555580e-01,9.128032143926266828e-01
1.600000000000000000e+04,7.611111111111111827e-01,9.185555559854186036e-01
1.600000000000000000e+04,8.666666666666666963e-01,9.225443392459083958e-01
1.600000000000000000e+04,9.722222222222223209e-01,9.267071339891109760e-01
1.600000000000000000e+04,1.077777777777777946e+00,9.290951681924703998e-01
1.600000000000000000e+04,1.183333333333333348e+00,9.301408903238294057e-01
1.600000000000000000e+04,1.288888888888888973e+00,9.307176933943195341e-01
1.600000000000000000e+04,1.394444444444444375e+00,9.307946956614808753e-01
1.600000000000000000e+04,1.500000000000000000e+00,nan
2.200000000000000000e+04,2.000000000000000042e-02,4.575772880038081469e-02
2.200000000000000000e+04,4.000000000000000083e-02,1.654112681038188148e-01
2.200000000000000000e+04,5.999999999999999778e-02,3.244341991180733631e-01
2.200000000000000000e+04,8.000000000000000167e-02,4.875363147039206146e-01
2.200000000000000000e+04,1.000000000000000056e-01,6.141955928926607911e-01
2.200000000000000000e+04,1.200000000000000094e-01,6.931006546405952262e-01
2.200000000000000000e+04,1.399999999999999856e-01,7.277205584163658481e-01
2.200000000000000000e+04,1.600000000000000033e-01,7.353139622621064353e-01
2.200000000000000000e+04,1.799999999999999933e-01,7.363012511688790118e-01
2.200000000000000000e+04,1.999999999999999833e-01,7.444867115069120356e-01
2.200000000000000000e+04,2.200000000000000011e-01,7.635452105803228751e-01
2.200000000000000000e+04,2.399999999999999911e-01,7.887149147713596875e-01
2.200000000000000000e+04,2.600000000000000089e-01,8.124808253882198628e-01
2.200000000000000000e+04,2.800000000000000266e-01,8.294723872048199720e-01
2.200000000000000000e+04,3.000000000000000444e-01,8.386598201628248095e-01
2.200000000000000000e+04,3.200000000000000067e-01,8.427235354431041880e-01
2.200000000000000000e+04,3.400000000000000244e-01,8.452218520683466574e-01
2.200000000000000000e+04,3.600000000000000422e-01,8.483258316368872398e-01
2.200000000000000000e+04,3.800000000000000044e-01,8.520550483327684610e-01
2.200000000000000000e+04,4.000000000000000222e-01,8.552292756996922041e-01
2.200000000000000000e+04,4.200000000000000400e-01,8.568839567966930471e-01
2.200000000000000000e+04,4.400000000000000022e-01,8.573468502224370624e-01
2.200000000000000000e+04,4.600000000000000200e-01,8.580439268952801957e-01
2.200000000000000000e+04,4.800000000000000377e-01,8.605449417476818130e-01
2.200000000000000000e+04,5.000000000000000000e-01,8.655039056267597175e-01
2.200000000000000000e+04,5.500000000000000444e-01,8.825968729695197190e-01
2.200000000000000000e+04,6.555555555555555580e-01,8.977071866557595481e-01
2.200000000000000000e+04,7.611111111111111827e-01,9.040401210399847676e-01
2.200000000000000000e+04,8.666666666666666963e-01,9.126649538643780701e-01
2.200000000000000000e+04,9.722222222222223209e-01,9.163121066174926277e-01
2.200000000000000000e+04,1.077777777777777946e+00,9.195144805658216347e-01
2.200000000000000000e+04,1.183333333333333348e+00,9.206747462318347619e-01
2.200000000000000000e+04,1.288888888888888973e+00,9.209727196702828245e-01
2.200000000000000000e+04,1.394444444444444375e+00,9.209938509945894136e-01
2.200000000000000000e+04,1.500000000000000000e+00,nan
2.800000000000000000e+04,2.000000000000000042e-02,2.864043719345372302e-02
2.800000000000000000e+04,4.000000000000000083e-02,1.066087372053854121e-01
2.800000000000000000e+04,5.999999999999999778e-02,2.191633583089176718e-01
2.800000000000000000e+04,8.000000000000000167e-02,3.513319829202682931e-01
2.800000000000000000e+04,1.000000000000000056e-01,4.773358813601550898e-01
2.800000000000000000e+04,1.200000000000000094e-01,5.843202556596438502e-01
2.800000000000000000e+04,1.399999999999999856e-01,6.624023844201205602e-01
2.800000000000000000e+04,1.600000000000000033e-01,7.096622546205891835e-01
2.800000000000000000e+04,1.799999999999999933e-01,7.313256413120066135e-01
2.800000000000000000e+04,1.999999999999999833e-01,7.374482122682313179e-01
2.800000000000000000e+04,2.200000000000000011e-01,7.379581650205332410e-01
2.800000000000000000e+04,2.399999999999999911e-01,7.407654456865224724e-01
2.800000000000000000e+04,2.600000000000000089e-01,7.499561580153448759e-01
2.800000000000000000e+04,2.800000000000000266e-01,7.657154437267181812e-01
2.800000000000000000e+04,3.000000000000000444e-01,7.852676065598580557e-01
2.800000000000000000e+04,3.200000000000000067e-01,8.049225645028916798e-01
2.800000000000000000e+04,3.400000000000000244e-01,8.214867573458211059e-01
2.800000000000000000e+04,3.600000000000000422e-01,8.331293797400315393e-01
2.800000000000000000e+04,3.800000000000000044e-01,8.399973368166931964e-01
2.800000000000000000e+04,4.000000000000000222e-01,8.435346496056325138e-01
2.800000000000000000e+04,4.200000000000000400e-01,8.455172182153010141e-01
2.800000000000000000e+04,4.400000000000000022e-01,8.474173215207667642e-01
2.800000000000000000e+04,4.600000000000000200e-01,8.498691682002976755e-01
2.800000000000000000e+04,4.800000000000000377e-01,8.527334720959884873e-01
2.800000000000000000e+04,5.000000000000000000e-01,8.553649954621893592e-01
2.800000000000000000e+04,5.500000000000000444e-01,8.581660032648852354e-01
2.800000000000000000e+04,6.555555555555555580e-01,8.712011262013231727e-01
2.800000000000000000e+04,7.611111111111111827e-01,8.924686417845171249e-01
